"Company","Symbol","Link","exchange"
"A. Schulman","SHLM","https://ih.advfn.com/stock-market/NASDAQ/a-schulman-inc-delisted-SHLM/","NASDAQ"
"A.c. Moore Arts Crafts","ACMR","https://ih.advfn.com/stock-market/NASDAQ/acm-research-ACMR/","NASDAQ"
"A.d.a.m. Inc.","ADAM","https://ih.advfn.com/stock-market/NASDAQ/ny-adam-ADAM/","NASDAQ"
"Aaipharma","AAII","https://ih.advfn.com/stock-market/NASDAQ/aaipharma-AAII/","NASDAQ"
"Aaon","AAON","https://ih.advfn.com/stock-market/NASDAQ/aaon-AAON/","NASDAQ"
"Abaxis","ABAX","https://ih.advfn.com/stock-market/NASDAQ/abaxis-inc-delisted-ABAX/","NASDAQ"
"Abigail Adams National Bancorp","AANB","https://ih.advfn.com/stock-market/NASDAQ/abigail-adams-national-bancorp-mm-AANB/","NASDAQ"
"Abington Bancorp","ABBC","https://ih.advfn.com/stock-market/NASDAQ/abington-bancorp-inc-mm-ABBC/","NASDAQ"
"Abiomed","ABMD","https://ih.advfn.com/stock-market/NASDAQ/abiomed-ABMD/","NASDAQ"
"Abraxas Petroleum","AXAS","https://ih.advfn.com/stock-market/NASDAQ/abraxas-petroleum-AXAS/","NASDAQ"
"Abraxis Bioscience Inc.","ABII","https://ih.advfn.com/stock-market/NASDAQ/abraxis-bioscience-inc-mm-ABII/","NASDAQ"
"Acacia","ACTG","https://ih.advfn.com/stock-market/NASDAQ/acacia-research-technolo-ACTG/","NASDAQ"
"Acadia","ACAD","https://ih.advfn.com/stock-market/NASDAQ/acadia-pharmaceuticals-ACAD/","NASDAQ"
"Accelrys","ACCL","https://ih.advfn.com/stock-market/NASDAQ/accelrys-inc-mm-ACCL/","NASDAQ"
"Access Integrated Technologies","CIDM","https://ih.advfn.com/stock-market/NASDAQ/cinedigm-CIDM/","NASDAQ"
"Access National","ANCX","https://ih.advfn.com/stock-market/NASDAQ/access-national-corp-ANCX/","NASDAQ"
"Access Plans Usa","AUSA","https://ih.advfn.com/stock-market/NASDAQ/access-plans-usa-mm-AUSA/","NASDAQ"
"Accuray Incorporated","ARAY","https://ih.advfn.com/stock-market/NASDAQ/accuray-ARAY/","NASDAQ"
"Acergy","ACGY","https://ih.advfn.com/stock-market/NASDAQ/acergy-ACGY/","NASDAQ"
"Aceto","ACET","https://ih.advfn.com/stock-market/NASDAQ/adicet-bio-ACET/","NASDAQ"
"Achillion Pharmaceuticals","ACHN","https://ih.advfn.com/stock-market/NASDAQ/achillion-pharmaceuticals-ACHN/","NASDAQ"
"Aci Worldwide","ACIW","https://ih.advfn.com/stock-market/NASDAQ/aci-worldwide-ACIW/","NASDAQ"
"Acme Packet","APKT","https://ih.advfn.com/stock-market/NASDAQ/acme-packet-inc-mm-APKT/","NASDAQ"
"Acorda Therapeutics","ACOR","https://ih.advfn.com/stock-market/NASDAQ/acorda-therapeutics-ACOR/","NASDAQ"
"Actel","ACTL","https://ih.advfn.com/stock-market/NASDAQ/nb-actl-ACTL/","NASDAQ"
"Actions Semiconductor Co. Ltd. Ads","ACTS","https://ih.advfn.com/stock-market/NASDAQ/actions-semiconductor-co-ltd-ads-each-representing-six-ordinary-shares-ACTS/","NASDAQ"
"Active Power","ACPW","https://ih.advfn.com/stock-market/NASDAQ/no-pioi-ACPW/","NASDAQ"
"Actividentity","ACTI","https://ih.advfn.com/stock-market/NASDAQ/actividentity-corp-mm-ACTI/","NASDAQ"
"Activision Blizzard","ATVI","https://ih.advfn.com/stock-market/NASDAQ/activision-blizzard-ATVI/","NASDAQ"
"Actuate","ACTU","https://ih.advfn.com/stock-market/NASDAQ/actuate-corporation-mm-ACTU/","NASDAQ"
"Acura Pharmaceuticals","ACUR","https://ih.advfn.com/stock-market/NASDAQ/no-acur-ACUR/","NASDAQ"
"Acxiom","ACXM","https://ih.advfn.com/stock-market/NASDAQ/acxiom-ACXM/","NASDAQ"
"Ada-es","ADES","https://ih.advfn.com/stock-market/NASDAQ/advanced-emissions-solut-ADES/","NASDAQ"
"Adams Golf","ADGF","https://ih.advfn.com/stock-market/NASDAQ/adams-golf-inc-mm-ADGF/","NASDAQ"
"Adaptec","ADPT","https://ih.advfn.com/stock-market/NASDAQ/adaptive-biotechnologies-ADPT/","NASDAQ"
"Adc Telecommunications","ADCT","https://ih.advfn.com/stock-market/NASDAQ/adc-telecommunications-new-mm-ADCT/","NASDAQ"
"Addvantage Technologies Grp.","AEY","https://ih.advfn.com/stock-market/NASDAQ/addvantage-technologies-AEY/","NASDAQ"
"Adobe Systems Incorporated","ADBE","https://ih.advfn.com/stock-market/NASDAQ/adobe-ADBE/","NASDAQ"
"Adolor","ADLR","https://ih.advfn.com/stock-market/NASDAQ/adolor-corp-mm-ADLR/","NASDAQ"
"Adtran","ADTN","https://ih.advfn.com/stock-market/NASDAQ/adtran-ADTN/","NASDAQ"
"Advanced Analogic","AATI","https://ih.advfn.com/stock-market/NASDAQ/advanced-analogic-AATI/","NASDAQ"
"Advanced Battery Technologies","ABAT","https://ih.advfn.com/stock-market/NASDAQ/advanced-battery-technologies-inc-mm-ABAT/","NASDAQ"
"Advanced Energy","AEIS","https://ih.advfn.com/stock-market/NASDAQ/advanced-energy-industries-AEIS/","NASDAQ"
"Advanta","ADVNB","https://ih.advfn.com/stock-market/NASDAQ/advanta-corp-class-b-mm-ADVNB/","NASDAQ"
"Advanta","ADVNA","https://ih.advfn.com/stock-market/NASDAQ/advanta-corp-class-a-mm-ADVNA/","NASDAQ"
"Advocat","AVCA","https://ih.advfn.com/stock-market/NASDAQ/diversicare-healthcare-services-inc-mm-AVCA/","NASDAQ"
"Aehr Test Systems","AEHR","https://ih.advfn.com/stock-market/NASDAQ/aehr-test-systems-AEHR/","NASDAQ"
"Aep","AEPI","https://ih.advfn.com/stock-market/NASDAQ/aep-AEPI/","NASDAQ"
"Aerovironment","AVAV","https://ih.advfn.com/stock-market/NASDAQ/aerovironment-AVAV/","NASDAQ"
"Aeterna Zentaris","AEZS","https://ih.advfn.com/stock-market/NASDAQ/aeterna-zentaris-AEZS/","NASDAQ"
